"ensembl" "SUM149_JQ1_12H_R2" "SUM149_JQ1_12H_R1" "SUM149_DMSO_12H_R2" "SUM149_DMSO_12H_R1"
"ENSG00000229393" 0 0 0 0
"ENSG00000157881" 917 845 862 1328
"ENSG00000197921" 1 0 0 0
"ENSG00000272449" 64 66 20 32
"ENSG00000238164" 1 1 1 1
"ENSG00000157873" 11 9 46 71
"ENSG00000225931" 0 0 0 0
"ENSG00000228037" 2 1 1 0
"ENSG00000157870" 519 489 846 1305
"ENSG00000142606" 0 1 0 0
"ENSG00000237058" 0 0 0 0
"ENSG00000215912" 14 13 7 13
"ENSG00000283259" 1 0 0 0
"ENSG00000233234" 0 0 0 0
"ENSG00000231630" 0 0 0 0
"ENSG00000284745" 0 0 0 1
"ENSG00000169717" 0 1 0 1
"ENSG00000177133" 2 0 0 0
"ENSG00000142611" 3 2 0 1
"ENSG00000283572" 0 0 0 0
"ENSG00000226286" 0 0 0 0
"ENSG00000279839" 0 0 0 0
"ENSG00000272235" 0 0 0 0
"ENSG00000130762" 410 378 944 1583
"ENSG00000272088" 0 0 0 2
"ENSG00000162591" 318 292 45 63
"ENSG00000207776" 0 0 0 0
"ENSG00000238260" 7 7 7 6
"ENSG00000158109" 1259 1171 1009 1512
"ENSG00000116213" 1163 1091 968 1523
"ENSG00000078900" 0 4 4 9
"ENSG00000227589" 1 0 0 0
"ENSG00000235131" 0 0 0 0
"ENSG00000227372" 1161 1028 887 1297
"ENSG00000276189" 0 0 0 0
"ENSG00000162592" 0 0 0 0
"ENSG00000235169" 6 7 10 11
"ENSG00000130764" 2604 2328 2099 3197
"ENSG00000266075" 3 8 3 8
"ENSG00000272153" 53 68 24 62
"ENSG00000116198" 2507 2500 1455 2140
"ENSG00000169598" 200 189 429 498
"ENSG00000198912" 676 619 689 972
"ENSG00000236423" 46 32 10 23
"ENSG00000233304" 1 1 0 1
"ENSG00000226374" 0 1 0 0
"ENSG00000284668" 0 0 0 0
"ENSG00000284703" 2 1 0 0
"ENSG00000229280" 1 1 0 0
"ENSG00000235054" 2 0 0 0
"ENSG00000284694" 3 0 0 0
"ENSG00000227169" 0 0 0 0
"ENSG00000232596" 1 1 0 0
"ENSG00000196581" 6 4 0 2
"ENSG00000284739" 0 0 0 0
"ENSG00000284674" 0 0 0 0
"ENSG00000231510" 0 0 0 0
"ENSG00000284616" 0 0 0 0
"ENSG00000284692" 1 1 0 0
"ENSG00000284666" 0 0 0 0
"ENSG00000260972" 1 3 0 0
"ENSG00000283356" 0 0 0 0
"ENSG00000236948" 0 1 0 0
"ENSG00000264341" 0 0 0 0
"ENSG00000264101" 1 0 0 1
"ENSG00000131697" 1501 1465 749 1272
"ENSG00000069424" 1148 1045 573 912
"ENSG00000116254" 65 71 48 75
"ENSG00000116251" 2981 2947 3600 5395
"ENSG00000226944" 8 1 4 3
"ENSG00000158286" 388 330 413 636
"ENSG00000116237" 4917 4860 4592 6399
"ENSG00000225077" 9 14 7 14
"ENSG00000173673" 0 0 0 0
"ENSG00000158292" 480 458 508 764
"ENSG00000097021" 3706 3381 2654 4100
"ENSG00000271746" 0 0 0 0
"ENSG00000069812" 162 142 82 132
"ENSG00000187017" 2249 2140 822 1447
"ENSG00000265392" 0 0 0 0
"ENSG00000231868" 21 13 10 12
"ENSG00000215788" 52 61 47 55
"ENSG00000171680" 17 21 142 237
"ENSG00000162408" 1190 1185 1350 1940
"ENSG00000253022" 0 0 0 0
"ENSG00000229519" 8 4 7 4
"ENSG00000173662" 8 0 2 2
"ENSG00000204859" 789 722 422 714
"ENSG00000162413" 3594 3532 1853 2766
"ENSG00000116273" 404 372 899 1372
"ENSG00000041988" 431 370 310 443
"ENSG00000007923" 1902 1725 2532 3633
"ENSG00000228750" 0 2 0 0
"ENSG00000284744" 0 0 0 0
"ENSG00000237436" 25 23 11 9
"ENSG00000171735" 803 727 794 1057
"ENSG00000227950" 0 0 0 0
"ENSG00000237365" 0 0 0 0
"ENSG00000207056" 1 0 0 0
"ENSG00000237402" 1 0 1 1
"ENSG00000237728" 1 0 0 1
"ENSG00000225126" 0 0 0 0
"ENSG00000270171" 0 0 0 0
"ENSG00000270035" 0 0 1 0
"ENSG00000269978" 0 0 0 0
"ENSG00000049245" 3598 3433 2470 3315
"ENSG00000269925" 21 19 25 37
"ENSG00000049246" 27 24 20 28
"ENSG00000236266" 1 0 0 1
"ENSG00000049247" 0 3 1 7
"ENSG00000049249" 2 5 3 5
"ENSG00000270330" 1 2 0 0
"ENSG00000116288" 10536 9793 9512 13225
"ENSG00000200344" 5 1 3 3
"ENSG00000284747" 61 60 26 42
"ENSG00000284716" 2 6 4 3
"ENSG00000116285" 4661 4630 6424 8889
"ENSG00000238290" 12 8 13 15
"ENSG00000232848" 2 1 2 3
"ENSG00000229305" 1 0 1 2
"ENSG00000227634" 12 15 12 16
"ENSG00000200975" 0 0 0 0
"ENSG00000233645" 0 0 1 0
"ENSG00000251977" 0 0 0 0
"ENSG00000162426" 24 11 22 40
"ENSG00000252254" 0 0 0 1
"ENSG00000142599" 3479 3348 3526 5366
"ENSG00000232912" 3 3 1 4
"ENSG00000221083" 0 0 0 0
"ENSG00000270282" 0 0 0 0
"ENSG00000234619" 0 0 1 3
"ENSG00000224315" 0 1 0 0
"ENSG00000222511" 0 0 0 0
"ENSG00000226545" 2 0 1 0
"ENSG00000228423" 0 5 0 1
"ENSG00000229716" 0 1 0 0
"ENSG00000074800" 135894 123717 112688 165030
"ENSG00000274258" 0 2 3 4
"ENSG00000230679" 28 28 12 21
"ENSG00000201725" 3 0 0 0
"ENSG00000238249" 2 2 2 1
"ENSG00000232208" 0 0 0 0
"ENSG00000232663" 0 0 1 2
"ENSG00000131686" 2 3 0 2
"ENSG00000265141" 0 0 0 0
"ENSG00000197241" 4 0 0 0
"ENSG00000142583" 12 18 31 43
"ENSG00000252404" 0 0 0 0
"ENSG00000180758" 789 873 660 953
"ENSG00000228526" 15 17 124 176
"ENSG00000284357" 0 0 0 0
"ENSG00000234546" 0 1 2 3
"ENSG00000049239" 3711 3825 1989 2924
"ENSG00000171621" 835 760 408 656
"ENSG00000284652" 1 2 0 0
"ENSG00000284693" 7 11 2 3
"ENSG00000252956" 0 0 0 0
"ENSG00000235263" 0 0 0 0
"ENSG00000171612" 277 229 336 429
"ENSG00000231181" 8 4 9 16
"ENSG00000188807" 1587 1556 2370 3829
"ENSG00000171608" 1685 1717 1272 1893
"ENSG00000179840" 1 0 0 0
"ENSG00000233268" 0 0 0 0
"ENSG00000231789" 13 14 16 18
"ENSG00000171603" 9998 9559 7338 10924
"ENSG00000271264" 0 0 0 0
"ENSG00000280113" 0 2 7 11
"ENSG00000178585" 1628 1467 624 905
"ENSG00000223989" 0 0 0 0
"ENSG00000162441" 1141 1096 1555 2150
"ENSG00000228150" 8 13 23 29
"ENSG00000173614" 790 773 522 784
"ENSG00000202415" 11 14 9 20
"ENSG00000283611" 1 4 2 0
"ENSG00000265521" 0 0 0 0
"ENSG00000241326" 0 0 0 0
"ENSG00000162444" 18 11 19 32
"ENSG00000130939" 4694 4566 3851 5691
"ENSG00000224340" 0 0 1 0
"ENSG00000233623" 2 3 2 1
"ENSG00000201746" 1 0 0 2
"ENSG00000054523" 7037 7425 4069 5638
"ENSG00000264881" 0 0 0 0
"ENSG00000199562" 0 0 0 0
"ENSG00000264501" 0 0 0 0
"ENSG00000284735" 6 10 3 2
"ENSG00000284642" 23 28 3 7
"ENSG00000142657" 11326 10123 6516 9308
"ENSG00000271989" 9 9 3 3
"ENSG00000251503" 5 5 2 7
"ENSG00000175279" 185 172 233 356
"ENSG00000241563" 17 27 4 21
"ENSG00000160049" 3616 3580 3904 5507
"ENSG00000203469" 0 0 0 0
"ENSG00000142655" 843 808 947 1473
"ENSG00000243267" 1 4 3 5
"ENSG00000130940" 220 218 134 167
"ENSG00000272078" 24 23 20 16
"ENSG00000225158" 1 0 2 0
"ENSG00000175262" 5 2 5 9
"ENSG00000215785" 2 1 1 1
"ENSG00000120948" 5142 4914 4260 5843
"ENSG00000277726" 0 0 0 0
"ENSG00000009724" 163 143 72 81
"ENSG00000271895" 48 40 21 46
"ENSG00000116649" 4042 3621 6096 9565
"ENSG00000171824" 2093 2043 3517 4976
"ENSG00000226849" 13 15 17 14
"ENSG00000230337" 26 32 15 29
"ENSG00000198793" 8275 8066 7176 10335
"ENSG00000225602" 0 4 1 1
"ENSG00000253086" 0 0 0 0
"ENSG00000171819" 2 1 2 1
"ENSG00000207451" 0 1 0 0
"ENSG00000238173" 0 0 0 0
"ENSG00000120942" 1689 1627 1741 2599
"ENSG00000238199" 15 18 9 17
"ENSG00000284646" 0 0 0 0
"ENSG00000224338" 0 1 0 0
"ENSG00000204624" 74 70 6 5
"ENSG00000235643" 51 67 0 1
"ENSG00000284708" 187 156 28 46
"ENSG00000116661" 7345 6646 3528 5430
"ENSG00000132879" 1876 1725 1564 2413
"ENSG00000116663" 72 73 168 287
"ENSG00000116670" 3136 2859 945 1497
"ENSG00000162490" 10 4 1 2
"ENSG00000177674" 2038 1737 2442 3698
"ENSG00000215910" 7 4 0 1
"ENSG00000177553" 1 0 0 0
"ENSG00000177000" 1943 1984 297 393
"ENSG00000011021" 1394 1332 1205 1713
"ENSG00000242349" 12 7 9 10
"ENSG00000276470" 0 0 0 0
"ENSG00000278852" 0 0 0 0
"ENSG00000175206" 7 6 4 17
"ENSG00000275915" 0 0 0 0
"ENSG00000120937" 1 2 0 1
"ENSG00000224904" 1 1 2 1
"ENSG00000199347" 32 22 2 2
"ENSG00000201801" 6 20 0 0
"ENSG00000116685" 2929 2667 2176 3449
"ENSG00000083444" 8436 7570 8737 13058
"ENSG00000116688" 10454 9604 11784 16973
"ENSG00000270914" 0 1 0 2
"ENSG00000116691" 742 694 1140 1951
"ENSG00000202461" 1 1 3 2
"ENSG00000276869" 0 0 0 1
"ENSG00000243539" 1 0 0 0
"ENSG00000120949" 3 3 1 1
"ENSG00000201135" 0 0 0 0
"ENSG00000227875" 1 1 1 0
"ENSG00000283789" 0 0 0 0
"ENSG00000028137" 8 3 1 0
"ENSG00000263676" 0 1 0 0
"ENSG00000225196" 0 1 0 0
"ENSG00000252969" 0 0 0 0
"ENSG00000048707" 2482 2662 2643 3740
"ENSG00000239149" 1 1 0 3
"ENSG00000229484" 0 0 0 1
"ENSG00000162496" 147 123 510 765
"ENSG00000221340" 0 0 1 1
"ENSG00000276830" 0 0 1 0
"ENSG00000272482" 7 5 6 10
"ENSG00000204518" 1 3 0 0
"ENSG00000226166" 0 1 1 0
"ENSG00000188984" 0 1 0 1
"ENSG00000157330" 1 2 0 0
"ENSG00000116726" 0 2 0 0
"ENSG00000116721" 1 0 0 0
"ENSG00000228338" 0 0 0 0
"ENSG00000239810" 0 0 0 0
"ENSG00000231103" 1 1 0 0
"ENSG00000179172" 2 1 0 1
"ENSG00000120952" 1 0 0 0
"ENSG00000243073" 1 0 0 0
"ENSG00000187545" 0 0 0 0
"ENSG00000204510" 0 0 0 0
"ENSG00000207434" 0 0 0 0
"ENSG00000234064" 0 0 0 0
"ENSG00000232423" 0 0 0 0
"ENSG00000274178" 0 0 0 0
"ENSG00000274764" 0 0 0 0
"ENSG00000277058" 0 1 1 0
"ENSG00000229571" 0 0 0 0
"ENSG00000277862" 0 0 0 0
"ENSG00000236179" 0 0 0 0
"ENSG00000275774" 0 0 1 0
"ENSG00000229978" 0 0 0 0
"ENSG00000233336" 0 0 0 0
"ENSG00000280267" 0 0 0 0
"ENSG00000179412" 0 0 0 0
"ENSG00000204505" 0 0 0 0
"ENSG00000279169" 0 0 0 0
"ENSG00000279804" 0 2 0 0
"ENSG00000250894" 0 0 0 0
"ENSG00000270601" 0 0 0 0
"ENSG00000231219" 0 0 0 0
"ENSG00000207511" 0 0 0 0
"ENSG00000182330" 0 0 0 0
"ENSG00000237700" 0 0 0 0
"ENSG00000204501" 0 0 0 0
"ENSG00000228229" 0 0 0 0
"ENSG00000204481" 0 0 0 0
"ENSG00000204480" 0 0 0 0
"ENSG00000204479" 0 0 0 0
"ENSG00000204478" 0 0 0 0
"ENSG00000162494" 1 1 0 0
"ENSG00000259961" 0 0 0 0
"ENSG00000215909" 1 1 0 0
"ENSG00000162493" 4 3 0 1
"ENSG00000222952" 0 0 0 0
"ENSG00000237445" 0 0 0 0
"ENSG00000253085" 0 0 0 0
"ENSG00000116731" 2249 2304 1351 1931
"ENSG00000189337" 100 112 226 324
"ENSG00000252151" 0 0 0 0
"ENSG00000231606" 0 0 0 0
"ENSG00000234593" 1 0 0 0
"ENSG00000235829" 0 1 0 0
"ENSG00000175147" 7 7 20 27
"ENSG00000171729" 403 362 479 741
"ENSG00000204464" 0 0 1 0
"ENSG00000215720" 0 0 0 0
"ENSG00000278480" 0 0 0 0
"ENSG00000142621" 31 25 21 51
"ENSG00000233485" 6 1 3 2
"ENSG00000236045" 2 5 5 5
"ENSG00000228140" 12 17 27 19
"ENSG00000142634" 9423 8419 9184 14849
"ENSG00000162438" 13 3 3 5
"ENSG00000142615" 2 1 0 0
"ENSG00000215704" 5 4 1 1
"ENSG00000132906" 727 738 456 699
"ENSG00000116138" 1886 1888 1234 1793
"ENSG00000251866" 1 0 0 0
"ENSG00000272510" 1 2 1 4
"ENSG00000116771" 223 225 565 841
"ENSG00000237301" 16 17 25 42
"ENSG00000235084" 5 3 4 6
"ENSG00000252417" 0 0 0 0
"ENSG00000236500" 0 0 0 0
"ENSG00000197312" 2255 2397 2004 2815
"ENSG00000215695" 0 0 0 0
"ENSG00000271742" 0 0 0 0
"ENSG00000116786" 3553 3192 2574 3981
"ENSG00000237938" 20 25 21 24
"ENSG00000162461" 13 17 6 6
"ENSG00000224459" 0 0 0 4
"ENSG00000162460" 1 0 3 0
"ENSG00000162458" 226 180 983 1448
"ENSG00000224321" 11 2 7 11
"ENSG00000233954" 32 18 12 15
"ENSG00000178715" 113 105 100 163
"ENSG00000179743" 371 318 218 364
"ENSG00000065526" 7066 6549 5504 7864
"ENSG00000270620" 0 0 0 0
"ENSG00000116809" 992 884 700 1046
"ENSG00000234607" 0 0 0 0
"ENSG00000231353" 0 0 0 0
"ENSG00000275503" 0 0 0 0
"ENSG00000224966" 1 2 0 0
"ENSG00000183888" 1 0 0 0
"ENSG00000233078" 0 0 0 0
"ENSG00000173641" 0 2 0 0
"ENSG00000186510" 12 7 3 2
"ENSG00000232456" 1 1 8 7
"ENSG00000184908" 1 1 0 3
"ENSG00000185519" 16 13 55 75
"ENSG00000142627" 14913 14042 6965 10706
"ENSG00000227959" 62 56 24 41
"ENSG00000224621" 31 38 17 24
"ENSG00000234166" 0 0 0 0
"ENSG00000142632" 848 740 1875 2861
"ENSG00000237276" 39 37 28 46
"ENSG00000132881" 354 355 154 227
"ENSG00000233929" 3 3 1 2
"ENSG00000037637" 2146 2139 1427 2030
"ENSG00000055070" 8877 8288 4490 6930
"ENSG00000226457" 1 4 5 6
"ENSG00000187144" 4 5 2 0
"ENSG00000157191" 3922 3742 1706 2539
"ENSG00000226029" 23 23 17 18
"ENSG00000080947" 111 108 101 142
"ENSG00000206652" 0 0 0 0
"ENSG00000261135" 10 10 6 6
"ENSG00000224174" 1 0 0 0
"ENSG00000233421" 1 1 0 0
"ENSG00000277344" 0 0 0 0
"ENSG00000225710" 1 0 0 0
"ENSG00000219481" 1181 1194 593 873
"ENSG00000271732" 5 4 1 1
"ENSG00000215908" 1893 1867 1507 2159
"ENSG00000283773" 0 0 0 0
"ENSG00000186301" 22 22 42 58
"ENSG00000282143" 0 0 0 0
"ENSG00000207513" 0 0 0 0
"ENSG00000280114" 0 0 0 0
"ENSG00000236698" 17 30 36 48
"ENSG00000268869" 1 2 0 1
"ENSG00000279151" 0 0 0 0
"ENSG00000282740" 0 0 0 0
"ENSG00000058453" 1143 1046 470 793
"ENSG00000227684" 1 0 1 0
"ENSG00000207389" 0 0 0 0
"ENSG00000186715" 8 4 6 4
"ENSG00000223643" 0 0 0 0
"ENSG00000230239" 0 0 0 0
"ENSG00000263811" 0 0 0 0
"ENSG00000228549" 1 3 1 1
"ENSG00000277234" 0 0 0 0
"ENSG00000238142" 0 0 1 0
"ENSG00000235241" 3 0 0 0
"ENSG00000207005" 0 1 0 0
"ENSG00000272426" 8 8 1 8
"ENSG00000117122" 63 58 148 216
"ENSG00000226526" 0 1 0 2
"ENSG00000159363" 2081 2003 1301 2094
"ENSG00000117118" 6516 6000 6192 8771
"ENSG00000117115" 239 203 45 53
"ENSG00000204362" 6 6 6 6
"ENSG00000282843" 0 0 0 0
"ENSG00000142623" 109 107 50 106
"ENSG00000142619" 33 19 10 14
"ENSG00000266634" 0 0 0 0
"ENSG00000159339" 3 4 3 2
"ENSG00000276747" 0 2 0 0
"ENSG00000227751" 0 0 0 0
"ENSG00000179051" 6748 6512 10376 15469
"ENSG00000074964" 69 34 234 378
"ENSG00000236648" 0 0 0 0
