"ensembl" "SUM149_JQ1_12H_R2" "SUM149_JQ1_12H_R1" "SUM149_DMSO_12H_R2" "SUM149_DMSO_12H_R1"
"ENSG00000276563" 0 1 1 0
"ENSG00000224687" 81 75 59 70
"ENSG00000075391" 1482 1515 1147 1544
"ENSG00000270575" 0 0 1 0
"ENSG00000213058" 1285 1158 1402 1780
"ENSG00000188585" 2 0 1 0
"ENSG00000264809" 0 0 0 0
"ENSG00000240021" 2 1 0 0
"ENSG00000213057" 52 48 54 82
"ENSG00000201347" 0 0 0 0
"ENSG00000273384" 0 0 2 0
"ENSG00000266417" 0 0 0 0
"ENSG00000273062" 23 15 11 7
"ENSG00000116191" 2295 2256 2171 2984
"ENSG00000228196" 2 4 0 3
"ENSG00000201791" 0 1 0 0
"ENSG00000116194" 1 3 1 0
"ENSG00000116199" 1795 1673 2460 3514
"ENSG00000232750" 0 4 2 1
"ENSG00000186283" 1534 1442 2081 2989
"ENSG00000143322" 1627 1761 1311 1828
"ENSG00000234041" 0 0 0 0
"ENSG00000231905" 3 0 0 0
"ENSG00000212338" 0 0 0 0
"ENSG00000201619" 0 0 0 0
"ENSG00000231564" 6 7 5 8
"ENSG00000225711" 2 0 0 0
"ENSG00000223794" 0 0 0 0
"ENSG00000228191" 0 0 0 1
"ENSG00000057252" 2285 2207 1727 2397
"ENSG00000162779" 3 4 2 1
"ENSG00000224620" 0 0 0 0
"ENSG00000236539" 3 2 3 4
"ENSG00000261250" 1 0 0 0
"ENSG00000116218" 0 0 0 0
"ENSG00000251875" 0 0 0 0
"ENSG00000227141" 3 3 4 6
"ENSG00000261060" 0 0 0 0
"ENSG00000162782" 82 84 105 140
"ENSG00000243062" 0 0 0 1
"ENSG00000143340" 1 0 0 1
"ENSG00000229407" 1 0 0 0
"ENSG00000231966" 2 1 0 2
"ENSG00000169905" 3188 3151 1643 2291
"ENSG00000272906" 14 22 6 8
"ENSG00000143337" 1959 2057 1404 2016
"ENSG00000264916" 0 1 1 0
"ENSG00000261831" 0 0 0 0
"ENSG00000260360" 10 8 11 11
"ENSG00000135837" 3182 3367 2006 2717
"ENSG00000235145" 0 0 1 0
"ENSG00000223450" 2 2 0 0
"ENSG00000261817" 0 0 0 0
"ENSG00000116260" 9902 9159 3911 5694
"ENSG00000121454" 193 182 266 392
"ENSG00000230124" 2089 1984 2395 3556
"ENSG00000235060" 0 4 0 0
"ENSG00000265435" 0 0 0 0
"ENSG00000206905" 0 0 0 1
"ENSG00000236719" 0 0 1 2
"ENSG00000143324" 3425 3552 1711 2458
"ENSG00000283575" 0 0 0 0
"ENSG00000225857" 3 1 0 0
"ENSG00000135835" 77 68 61 107
"ENSG00000243155" 19 31 16 15
"ENSG00000232586" 2 5 1 7
"ENSG00000251520" 2 2 3 4
"ENSG00000270711" 0 2 3 2
"ENSG00000135823" 3038 2825 2144 3252
"ENSG00000153029" 91 76 296 394
"ENSG00000162783" 3915 3785 1594 2398
"ENSG00000237292" 1 0 0 1
"ENSG00000225359" 0 0 0 0
"ENSG00000179452" 1 0 0 0
"ENSG00000198216" 9 8 0 0
"ENSG00000273573" 0 0 0 0
"ENSG00000252977" 0 0 0 0
"ENSG00000272880" 0 0 0 0
"ENSG00000222397" 1 0 0 0
"ENSG00000179930" 1 2 3 3
"ENSG00000224810" 0 0 0 3
"ENSG00000225982" 0 1 0 1
"ENSG00000232309" 0 0 0 0
"ENSG00000228918" 0 1 0 0
"ENSG00000232096" 0 0 0 0
"ENSG00000206764" 0 0 0 0
"ENSG00000228664" 0 1 0 0
"ENSG00000231684" 3 5 1 3
"ENSG00000135821" 2464 2419 1810 2633
"ENSG00000203730" 0 1 2 1
"ENSG00000203729" 2 0 0 0
"ENSG00000121446" 2 5 1 1
"ENSG00000270443" 0 0 0 0
"ENSG00000233537" 0 0 0 0
"ENSG00000135828" 474 418 270 431
"ENSG00000276839" 0 0 0 0
"ENSG00000143333" 44 49 72 115
"ENSG00000261504" 4 4 4 4
"ENSG00000135824" 2 1 0 1
"ENSG00000227181" 0 0 0 0
"ENSG00000271269" 0 0 0 0
"ENSG00000135838" 190 195 79 121
"ENSG00000135829" 13016 12480 14515 20762
"ENSG00000157060" 2 0 0 0
"ENSG00000224040" 0 0 0 0
"ENSG00000199837" 0 0 0 0
"ENSG00000226570" 2 0 0 0
"ENSG00000176855" 4 3 0 2
"ENSG00000207472" 0 0 0 0
"ENSG00000135862" 8640 8158 7183 10247
"ENSG00000224468" 20 24 5 11
"ENSG00000058085" 15982 15212 16611 23630
"ENSG00000157064" 104 62 131 187
"ENSG00000233562" 0 0 1 1
"ENSG00000232860" 75 76 56 76
"ENSG00000116698" 6600 6581 5619 8040
"ENSG00000116701" 18 25 72 103
"ENSG00000162704" 8195 8209 6308 8897
"ENSG00000143344" 245 229 218 269
"ENSG00000173627" 0 1 0 0
"ENSG00000270994" 1 0 0 0
"ENSG00000227554" 0 0 0 0
"ENSG00000198756" 63 59 35 43
"ENSG00000198860" 1623 1504 2241 3254
"ENSG00000199840" 0 0 0 0
"ENSG00000207080" 0 0 0 0
"ENSG00000231791" 0 0 0 0
"ENSG00000244568" 0 0 0 0
"ENSG00000271387" 7 3 29 33
"ENSG00000116667" 174 176 503 763
"ENSG00000230470" 0 0 0 0
"ENSG00000232036" 0 0 0 0
"ENSG00000116406" 2309 2530 1773 2474
"ENSG00000135842" 641 614 490 736
"ENSG00000252222" 0 0 0 0
"ENSG00000260976" 0 0 0 0
"ENSG00000201312" 0 0 0 0
"ENSG00000121481" 522 506 910 1289
"ENSG00000232792" 0 2 0 4
"ENSG00000121486" 2563 2504 2415 3362
"ENSG00000116668" 215 219 148 231
"ENSG00000231084" 34 34 21 14
"ENSG00000213051" 1 2 0 2
"ENSG00000201421" 0 0 0 0
"ENSG00000206640" 0 0 1 0
"ENSG00000233583" 0 1 0 2
"ENSG00000252612" 1 0 0 0
"ENSG00000238061" 2 1 2 5
"ENSG00000279838" 16 13 15 29
"ENSG00000116679" 4201 4214 7200 10138
"ENSG00000273004" 9 7 19 37
"ENSG00000261024" 1 0 1 0
"ENSG00000252407" 0 0 0 0
"ENSG00000270920" 0 0 0 0
"ENSG00000279401" 1 1 0 0
"ENSG00000228309" 0 0 0 0
"ENSG00000207108" 0 0 0 0
"ENSG00000201596" 0 0 0 0
"ENSG00000261729" 0 0 2 3
"ENSG00000143341" 31 21 63 81
"ENSG00000224691" 0 0 0 0
"ENSG00000116690" 3 17 3 4
"ENSG00000047410" 13390 12857 10928 15224
"ENSG00000202025" 0 0 0 0
"ENSG00000157181" 1905 1896 1744 2400
"ENSG00000262180" 51 29 9 30
"ENSG00000229739" 11 13 7 3
"ENSG00000116703" 2 0 4 2
"ENSG00000273198" 1 0 0 0
"ENSG00000228238" 0 1 1 0
"ENSG00000233196" 1 0 0 0
"ENSG00000073756" 76 79 60 71
"ENSG00000273129" 4 0 12 11
"ENSG00000116711" 121 120 196 328
"ENSG00000230426" 3 2 0 1
"ENSG00000271558" 0 1 0 0
"ENSG00000225462" 1 0 1 0
"ENSG00000274702" 0 0 0 0
"ENSG00000236401" 0 0 0 0
"ENSG00000223847" 0 0 0 0
"ENSG00000150732" 2 0 0 0
"ENSG00000222240" 0 0 0 0
"ENSG00000261182" 0 0 0 0
"ENSG00000224278" 0 0 0 0
"ENSG00000225006" 0 0 0 0
"ENSG00000235083" 0 0 0 0
"ENSG00000231022" 0 1 0 2
"ENSG00000237283" 0 0 0 0
"ENSG00000238054" 1 0 0 1
"ENSG00000226486" 0 0 0 0
"ENSG00000271036" 0 0 0 0
"ENSG00000226196" 1 1 0 1
"ENSG00000252553" 0 0 0 0
"ENSG00000232212" 0 0 0 0
"ENSG00000238270" 0 0 0 0
"ENSG00000230987" 3 0 2 1
"ENSG00000162670" 1 1 0 0
"ENSG00000225811" 0 0 0 0
"ENSG00000237457" 1 0 0 2
"ENSG00000241505" 0 0 0 0
"ENSG00000231175" 0 0 0 0
"ENSG00000236025" 0 0 0 0
"ENSG00000238108" 0 0 0 1
"ENSG00000228020" 1 0 2 1
"ENSG00000261642" 0 1 0 0
"ENSG00000271187" 0 0 0 0
"ENSG00000233882" 0 0 0 0
"ENSG00000223344" 0 0 0 0
"ENSG00000228215" 0 0 0 0
"ENSG00000150681" 1 0 0 0
"ENSG00000285280" 9 30 6 9
"ENSG00000226723" 9 7 8 6
"ENSG00000236792" 0 1 0 2
"ENSG00000253148" 0 0 0 0
"ENSG00000236069" 0 0 0 0
"ENSG00000090104" 1 0 0 0
"ENSG00000127074" 0 0 0 0
"ENSG00000231767" 4 3 1 1
"ENSG00000283795" 0 0 0 0
"ENSG00000228687" 1 0 0 0
"ENSG00000226814" 0 0 0 0
"ENSG00000116741" 402 374 163 237
"ENSG00000223075" 0 0 0 0
"ENSG00000234473" 7 5 3 1
"ENSG00000116750" 4040 3865 5323 7261
"ENSG00000238754" 0 1 0 1
"ENSG00000116747" 3081 2965 1912 2882
"ENSG00000023572" 1614 1502 1220 1780
"ENSG00000134371" 4538 4398 3231 4542
"ENSG00000221680" 0 0 0 0
"ENSG00000162630" 4 6 2 0
"ENSG00000276735" 0 2 1 3
"ENSG00000232077" 2 0 3 1
"ENSG00000226640" 0 0 0 0
"ENSG00000237011" 0 0 0 0
"ENSG00000237213" 0 1 0 0
"ENSG00000227240" 0 0 0 0
"ENSG00000233057" 5 11 4 10
"ENSG00000231714" 0 0 0 0
"ENSG00000251813" 0 0 0 0
"ENSG00000228167" 2 0 0 1
"ENSG00000227421" 0 0 0 0
"ENSG00000162687" 2 2 2 3
"ENSG00000265986" 0 0 0 0
"ENSG00000000971" 52 37 90 142
"ENSG00000116785" 0 3 1 2
"ENSG00000276911" 0 0 0 0
"ENSG00000244414" 0 0 0 0
"ENSG00000134365" 0 0 0 0
"ENSG00000080910" 0 0 0 0
"ENSG00000273844" 0 0 0 0
"ENSG00000134389" 1 2 0 0
"ENSG00000143278" 2 7 1 0
"ENSG00000066279" 12490 13087 9424 13059
"ENSG00000235748" 4 1 2 5
"ENSG00000177888" 1885 2125 1388 1976
"ENSG00000237861" 2 0 0 0
"ENSG00000134376" 26 12 1 3
"ENSG00000221879" 0 1 0 0
"ENSG00000230260" 0 0 0 0
"ENSG00000213047" 210 262 776 1144
"ENSG00000207139" 0 0 0 0
"ENSG00000213046" 0 1 2 1
"ENSG00000235582" 4 1 6 7
"ENSG00000233040" 1 0 0 0
"ENSG00000224901" 0 0 0 0
"ENSG00000203724" 92 111 62 129
"ENSG00000143355" 6 5 6 13
"ENSG00000151414" 2554 2750 2358 3292
"ENSG00000232824" 0 0 0 0
"ENSG00000151418" 0 0 0 0
"ENSG00000223881" 0 0 0 0
"ENSG00000081237" 7 7 1 8
"ENSG00000261573" 0 0 0 0
"ENSG00000236278" 0 1 0 0
"ENSG00000229989" 2 1 0 1
"ENSG00000207975" 0 1 0 0
"ENSG00000207759" 0 0 0 0
"ENSG00000227747" 1 1 2 1
"ENSG00000225172" 0 0 0 0
"ENSG00000233410" 0 0 0 0
"ENSG00000235492" 0 0 0 0
"ENSG00000231718" 0 0 0 0
"ENSG00000228190" 0 0 0 0
"ENSG00000236468" 7 8 6 9
"ENSG00000231984" 0 0 0 0
"ENSG00000228530" 0 0 0 0
"ENSG00000200139" 0 0 0 0
"ENSG00000229747" 0 1 0 0
"ENSG00000202491" 0 1 0 0
"ENSG00000202329" 0 0 0 0
"ENSG00000116833" 13 10 11 10
"ENSG00000252860" 1 1 0 0
"ENSG00000229220" 1 0 0 0
"ENSG00000233827" 0 1 0 0
"ENSG00000203721" 3 11 7 6
"ENSG00000273093" 0 0 0 0
"ENSG00000213045" 2 2 1 0
"ENSG00000230623" 4 2 0 2
"ENSG00000162702" 2046 2157 1676 2545
"ENSG00000282849" 4 3 6 7
"ENSG00000118193" 3841 3978 2779 4070
"ENSG00000118197" 1127 1081 776 1004
"ENSG00000260088" 6 2 3 12
"ENSG00000118200" 3762 3970 2771 3991
"ENSG00000231333" 3 6 0 2
"ENSG00000170128" 1 1 0 1
"ENSG00000163362" 596 615 774 1190
"ENSG00000233217" 8 3 0 1
"ENSG00000201032" 0 0 0 0
"ENSG00000116852" 82 66 75 147
"ENSG00000229191" 2 2 0 0
"ENSG00000234132" 0 2 0 0
"ENSG00000081248" 6 4 0 1
"ENSG00000232237" 15 13 2 4
"ENSG00000116857" 2532 2276 3684 5440
"ENSG00000163395" 2660 2295 63 76
"ENSG00000229821" 16 20 0 1
"ENSG00000081277" 2193 2107 3904 5916
"ENSG00000118194" 13 6 8 3
"ENSG00000159166" 1276 1123 5155 8001
"ENSG00000282221" 6 11 68 97
"ENSG00000159173" 13 9 60 66
"ENSG00000227048" 0 0 0 0
"ENSG00000224818" 0 0 0 0
"ENSG00000174307" 651 642 1296 2000
"ENSG00000159176" 8187 7299 5237 7880
"ENSG00000224536" 10 8 40 53
"ENSG00000223396" 27 25 89 110
"ENSG00000134369" 416 423 1605 2360
"ENSG00000236390" 0 0 0 0
"ENSG00000231871" 8 9 5 12
"ENSG00000264802" 0 0 0 0
"ENSG00000235121" 4 6 2 2
"ENSG00000200942" 0 0 0 0
"ENSG00000221028" 0 0 0 0
"ENSG00000198700" 7711 7348 6087 8764
"ENSG00000277681" 3 2 6 2
"ENSG00000198892" 183 184 237 323
"ENSG00000223774" 0 0 0 2
"ENSG00000163431" 5 9 2 4
"ENSG00000134375" 6866 6631 5395 7567
"ENSG00000206637" 0 1 0 1
"ENSG00000238003" 0 2 2 1
"ENSG00000176393" 7449 7107 5534 8058
"ENSG00000273478" 79 75 39 72
"ENSG00000234678" 48 36 35 49
"ENSG00000275207" 1 1 0 0
"ENSG00000163435" 1155 1043 746 1064
"ENSG00000249007" 1 2 2 4
"ENSG00000232296" 0 0 0 0
"ENSG00000235811" 0 0 0 0
"ENSG00000212512" 0 0 0 0
"ENSG00000227109" 0 0 0 0
"ENSG00000170075" 12 8 10 10
"ENSG00000143862" 1144 1064 1052 1680
"ENSG00000143851" 7 9 1 2
"ENSG00000243323" 10 4 0 4
"ENSG00000133067" 10 6 4 5
"ENSG00000077152" 2061 1995 2680 3878
"ENSG00000077157" 801 827 403 554
"ENSG00000229120" 0 0 0 0
"ENSG00000272262" 0 0 0 0
"ENSG00000232626" 17 11 8 11
"ENSG00000236439" 1 0 0 0
"ENSG00000253042" 0 0 0 0
"ENSG00000143858" 16 8 6 8
"ENSG00000226862" 0 1 0 0
"ENSG00000225620" 0 0 0 0
"ENSG00000117139" 5483 5265 2485 3390
"ENSG00000235449" 2 9 2 4
"ENSG00000226148" 1 2 3 2
"ENSG00000260021" 2 1 0 1
"ENSG00000228288" 261 254 65 114
"ENSG00000184774" 5 4 1 0
"ENSG00000214796" 240 225 154 277
"ENSG00000234996" 33 34 24 28
"ENSG00000183155" 1480 1364 697 1005
"ENSG00000117153" 3065 2814 1069 1568
"ENSG00000230280" 139 116 14 25
"ENSG00000199471" 6 11 0 1
"ENSG00000159346" 6588 6575 5259 7763
"ENSG00000159348" 2396 2101 794 1187
"ENSG00000234761" 0 0 0 0
"ENSG00000231547" 0 0 0 0
"ENSG00000163444" 897 806 790 1177
"ENSG00000143847" 143 129 65 145
"ENSG00000122180" 0 1 0 0
"ENSG00000163485" 24 27 196 346
"ENSG00000234775" 0 0 0 1
"ENSG00000224671" 0 1 0 1
"ENSG00000133055" 3 3 2 2
"ENSG00000133048" 417 396 143 246
"ENSG00000133063" 3 3 0 1
"ENSG00000236523" 3 3 2 2
"ENSG00000231507" 1 1 1 0
"ENSG00000233791" 2 2 0 0
"ENSG00000159388" 71 68 45 73
"ENSG00000202300" 0 0 0 0
"ENSG00000122176" 2 2 0 1
"ENSG00000229652" 0 2 0 0
"ENSG00000271588" 0 0 0 0
"ENSG00000188783" 12 8 3 3
"ENSG00000188770" 0 0 0 0
"ENSG00000058668" 3524 3501 2511 3530
"ENSG00000236035" 1 0 4 1
"ENSG00000221643" 1 3 3 5
"ENSG00000122188" 2 2 0 0
"ENSG00000058673" 10 15 8 14
"ENSG00000257315" 20 26 6 16
"ENSG00000227417" 1 3 0 0
"ENSG00000223505" 1 2 1 4
"ENSG00000182004" 1078 928 1404 1936
"ENSG00000236430" 5 2 1 4
"ENSG00000232917" 3 1 1 1
"ENSG00000237379" 0 0 6 1
"ENSG00000176754" 0 0 1 0
"ENSG00000143842" 2271 2198 1215 2049
"ENSG00000261065" 0 0 0 0
"ENSG00000143845" 103 104 175 301
"ENSG00000230550" 1 1 1 2
"ENSG00000143839" 3 8 6 8
"ENSG00000225522" 1 0 1 0
"ENSG00000170498" 1 1 2 1
"ENSG00000174567" 1 2 0 0
"ENSG00000143850" 1369 1216 1077 1559
"ENSG00000231691" 4 5 6 6
"ENSG00000219133" 1 2 0 3
"ENSG00000280924" 2 2 2 2
"ENSG00000226330" 2 0 1 4
"ENSG00000237848" 1 0 1 0
"ENSG00000158615" 5452 5612 3248 4609
"ENSG00000133056" 795 794 767 1171
"ENSG00000198625" 693 661 1119 1590
"ENSG00000236779" 3 1 0 2
"ENSG00000200408" 0 0 0 0
"ENSG00000240710" 2 2 0 0
"ENSG00000170382" 4 8 3 6
"ENSG00000240219" 4 2 1 2
"ENSG00000228153" 2 0 0 0
"ENSG00000252650" 0 0 0 0
"ENSG00000251861" 0 0 0 0
"ENSG00000163531" 8 10 1 1
"ENSG00000229657" 0 1 0 0
"ENSG00000184144" 11 16 1 0
"ENSG00000174529" 130 98 61 90
"ENSG00000117222" 2617 2542 1520 2121
"ENSG00000271580" 26 12 10 9
"ENSG00000236108" 0 0 1 0
"ENSG00000133059" 1033 1093 1056 1451
"ENSG00000213041" 0 3 2 2
"ENSG00000133069" 137 127 76 120
"ENSG00000225063" 0 0 0 0
"ENSG00000163545" 42 57 61 95
"ENSG00000162873" 0 5 1 1
"ENSG00000235363" 0 1 0 0
"ENSG00000226235" 5 1 0 3
"ENSG00000186007" 61 57 91 141
"ENSG00000281406" 181 157 396 595
"ENSG00000199059" 0 3 8 6
"ENSG00000224717" 5 5 2 5
"ENSG00000117266" 729 748 1010 1521
"ENSG00000253097" 0 0 0 0
"ENSG00000174514" 86 83 46 60
"ENSG00000206762" 7 1 3 2
"ENSG00000158711" 2274 2234 1725 2470
"ENSG00000236942" 0 3 1 0
"ENSG00000158715" 714 751 1112 1634
"ENSG00000275213" 1 1 0 0
"ENSG00000069275" 19406 19693 27337 38133
"ENSG00000201944" 0 2 0 2
"ENSG00000117280" 272 243 981 1354
"ENSG00000133065" 2867 2770 2182 3274
"ENSG00000162877" 1 3 1 0
"ENSG00000174502" 7 7 40 57
"ENSG00000227687" 0 0 1 1
"ENSG00000276600" 85 75 128 214
"ENSG00000196188" 8 8 24 23
"ENSG00000285417" 0 0 0 0
"ENSG00000263961" 1 4 0 0
"ENSG00000252692" 0 0 0 0
"ENSG00000198049" 5 3 0 0
"ENSG00000226780" 1 2 0 0
"ENSG00000225483" 2 0 0 0
"ENSG00000236889" 0 0 0 0
"ENSG00000196550" 131 147 137 174
"ENSG00000266028" 3251 3181 1691 2380
"ENSG00000229509" 0 0 0 0
"ENSG00000263528" 141 104 398 626
"ENSG00000278465" 0 1 0 0
"ENSG00000162888" 2 4 13 2
"ENSG00000261000" 0 1 0 0
"ENSG00000266094" 443 426 351 491
"ENSG00000234981" 4 1 2 2
"ENSG00000279946" 2 3 0 0
"ENSG00000143486" 1111 1082 2428 3427
"ENSG00000237605" 1 1 4 15
"ENSG00000143479" 775 719 197 340
"ENSG00000162889" 6298 5808 3981 5856
"ENSG00000224114" 1 3 1 1
"ENSG00000199349" 0 0 0 0
"ENSG00000136634" 0 1 0 0
"ENSG00000284486" 1 0 0 0
"ENSG00000142224" 1 0 0 0
"ENSG00000162891" 0 0 4 4
"ENSG00000162892" 14 21 28 60
"ENSG00000162894" 109 97 115 187
"ENSG00000271680" 1 2 1 0
"ENSG00000226945" 0 4 2 5
"ENSG00000162896" 3 7 2 1
"ENSG00000162897" 8 9 1 0
"ENSG00000182795" 2597 2294 784 1169
"ENSG00000123836" 2747 2686 1709 2348
"ENSG00000180667" 1656 1711 1511 2117
"ENSG00000123843" 5 2 10 7
"ENSG00000123838" 0 0 1 0
"ENSG00000275392" 0 0 0 0
"ENSG00000226565" 1 0 0 0
"ENSG00000224462" 0 1 0 1
"ENSG00000243636" 0 0 0 0
"ENSG00000232621" 0 0 0 0
"ENSG00000237074" 2 0 4 4
"ENSG00000196352" 4278 3911 5991 8548
"ENSG00000283044" 0 0 0 0
"ENSG00000117322" 115 138 183 233
"ENSG00000203710" 4 1 0 1
"ENSG00000236911" 0 0 0 0
"ENSG00000197721" 1 0 0 1
"ENSG00000244703" 1 1 0 0
"ENSG00000226289" 0 0 0 0
"ENSG00000274059" 0 0 0 0
"ENSG00000285239" 0 0 1 0
"ENSG00000117335" 8606 9377 8143 11610
"ENSG00000234219" 2 3 0 1
"ENSG00000203709" 79 62 85 100
"ENSG00000284214" 0 0 0 0
"ENSG00000284203" 0 0 0 0
"ENSG00000174059" 3 5 0 3
"ENSG00000284237" 6 2 12 18
"ENSG00000076356" 264 289 299 496
"ENSG00000226843" 0 0 0 0
"ENSG00000261453" 1 0 0 0
"ENSG00000259815" 0 0 0 0
"ENSG00000227887" 0 0 1 1
"ENSG00000232812" 0 0 0 0
"ENSG00000236950" 0 0 0 0
"ENSG00000278684" 1 0 0 0
"ENSG00000232537" 0 0 0 0
"ENSG00000228081" 0 0 0 0
"ENSG00000224540" 2 1 2 1
"ENSG00000225712" 0 0 0 0
"ENSG00000227940" 0 0 0 0
"ENSG00000231648" 0 0 0 3
"ENSG00000230937" 310 326 375 467
"ENSG00000284485" 3 5 1 3
"ENSG00000224260" 1 2 0 0
"ENSG00000008118" 21 17 8 10
"ENSG00000196878" 82743 74419 22295 34009
"ENSG00000283876" 13 10 0 3
"ENSG00000227591" 1 0 3 2
"ENSG00000123689" 6 2 0 1
"ENSG00000117594" 0 5 2 2
"ENSG00000236136" 3 0 1 0
"ENSG00000009790" 42 29 16 27
"ENSG00000162757" 653 606 361 598
"ENSG00000117595" 5000 4878 2179 3125
"ENSG00000117597" 1135 1129 2270 3295
"ENSG00000143469" 1073 1149 2349 3073
"ENSG00000203706" 44 48 66 129
"ENSG00000082497" 274 288 810 1271
"ENSG00000228110" 2 1 0 0
"ENSG00000233455" 0 1 0 0
"ENSG00000054392" 219 202 269 384
"ENSG00000200972" 0 0 0 0
"ENSG00000270936" 0 0 0 0
"ENSG00000143473" 3 2 0 4
"ENSG00000279333" 0 0 0 0
"ENSG00000284299" 0 0 0 0
"ENSG00000224668" 25 41 25 30
"ENSG00000283952" 0 0 0 0
"ENSG00000284376" 2 1 1 0
"ENSG00000234233" 1 0 2 0
"ENSG00000234004" 0 0 1 0
"ENSG00000226986" 1 3 4 1
"ENSG00000117625" 1064 1094 1222 1760
"ENSG00000082512" 224 160 904 1360
"ENSG00000153363" 795 692 656 938
"ENSG00000236809" 44 46 69 67
"ENSG00000238137" 5 2 1 2
"ENSG00000198570" 0 2 2 0
"ENSG00000223649" 0 0 0 0
"ENSG00000170385" 1297 1401 1624 2276
"ENSG00000261314" 0 0 0 0
"ENSG00000228792" 1 0 2 1
"ENSG00000227764" 4 1 2 7
"ENSG00000117650" 2684 2577 1898 2706
"ENSG00000224763" 6 5 0 10
"ENSG00000231057" 15 16 2 6
"ENSG00000226868" 1 1 0 0
"ENSG00000123684" 654 700 2497 3493
"ENSG00000241395" 0 0 0 1
"ENSG00000212205" 0 4 0 0
"ENSG00000229258" 1 1 0 1
"ENSG00000233626" 2 1 1 1
"ENSG00000143493" 3252 3263 2244 3016
"ENSG00000212187" 0 0 0 0
"ENSG00000143476" 1341 1345 3957 5309
"ENSG00000220749" 0 0 0 0
"ENSG00000264358" 0 1 0 1
"ENSG00000252879" 0 0 1 0
"ENSG00000229983" 1 1 1 0
"ENSG00000226251" 0 2 1 4
"ENSG00000066027" 2435 2325 1711 2387
"ENSG00000230063" 0 0 0 0
"ENSG00000234915" 1 0 1 1
"ENSG00000225338" 0 0 1 0
"ENSG00000201544" 3 0 2 1
"ENSG00000229832" 1 4 3 3
"ENSG00000065600" 697 708 513 829
"ENSG00000117691" 1700 1435 1593 2288
"ENSG00000224535" 0 3 1 0
"ENSG00000228067" 0 0 0 0
"ENSG00000260805" 49 50 89 146
"ENSG00000162772" 440 443 66 86
"ENSG00000235862" 0 0 0 0
"ENSG00000162771" 0 1 0 0
"ENSG00000226036" 0 0 0 1
"ENSG00000237980" 1 0 0 0
"ENSG00000123685" 6 11 16 29
"ENSG00000117697" 1341 1409 1235 1879
"ENSG00000203705" 199 170 400 557
"ENSG00000236905" 5 0 1 4
"ENSG00000185523" 5 0 1 1
"ENSG00000198468" 66 67 69 83
"ENSG00000235182" 0 0 0 0
"ENSG00000236317" 0 3 1 2
"ENSG00000162769" 577 572 900 1226
"ENSG00000282718" 1 0 0 0
"ENSG00000143494" 11 23 19 35
"ENSG00000174606" 1378 1405 1293 1769
"ENSG00000136643" 1473 1411 714 974
"ENSG00000228646" 0 0 0 0
"ENSG00000225233" 0 0 0 0
"ENSG00000228255" 0 0 0 0
"ENSG00000230461" 3 1 0 0
"ENSG00000281664" 0 1 0 0
"ENSG00000117707" 0 1 0 0
"ENSG00000274895" 1 1 0 0
"ENSG00000272167" 0 0 0 0
"ENSG00000283518" 2 1 0 0
"ENSG00000143499" 1656 1592 2005 2779
"ENSG00000228470" 3 4 1 2
"ENSG00000152104" 1825 1860 1328 1814
"ENSG00000213036" 1 3 0 2
"ENSG00000215819" 0 0 0 0
"ENSG00000117724" 12418 12459 10710 14927
"ENSG00000250536" 2 4 0 1
"ENSG00000224584" 1 0 1 1
"ENSG00000185221" 2 3 0 0
"ENSG00000223869" 0 0 0 0
"ENSG00000082482" 47 45 393 559
"ENSG00000232809" 1 0 0 0
"ENSG00000282265" 0 1 0 0
"ENSG00000136636" 9303 8886 9927 14153
"ENSG00000042781" 11 15 21 25
"ENSG00000202498" 0 0 0 0
"ENSG00000229242" 0 1 0 0
"ENSG00000233620" 0 0 0 0
"ENSG00000236292" 0 1 0 0
"ENSG00000226013" 0 0 0 0
"ENSG00000196482" 8 7 9 10
"ENSG00000092978" 2293 2275 1507 2132
"ENSG00000162814" 59 59 85 147
"ENSG00000234070" 0 0 1 1
"ENSG00000228247" 5 1 1 2
"ENSG00000231814" 2 1 0 0
"ENSG00000230714" 0 0 0 0
"ENSG00000232100" 0 0 0 0
"ENSG00000201493" 1 0 0 0
"ENSG00000067533" 3132 2911 4090 5842
"ENSG00000229016" 0 0 0 0
"ENSG00000223375" 1 0 1 1
"ENSG00000232480" 16 26 66 90
"ENSG00000092969" 590 580 2131 2996
"ENSG00000281453" 0 0 0 0
"ENSG00000228208" 4 3 5 0
"ENSG00000212610" 0 0 0 0
"ENSG00000226693" 0 2 1 2
"ENSG00000225561" 0 1 2 2
"ENSG00000228063" 5 1 25 25
"ENSG00000143353" 998 947 1107 1522
"ENSG00000225920" 64 63 23 32
"ENSG00000223842" 16 17 3 6
"ENSG00000277007" 45 52 34 48
"ENSG00000228536" 14 16 3 2
"ENSG00000238232" 0 0 0 0
"ENSG00000215817" 2 3 2 0
"ENSG00000196660" 1 2 6 8
"ENSG00000252086" 0 0 0 0
"ENSG00000221673" 0 0 0 0
"ENSG00000136628" 19545 19212 22832 31855
"ENSG00000162813" 2575 2607 2368 3314
"ENSG00000067704" 20839 19904 21985 30404
"ENSG00000207590" 4 1 1 1
"ENSG00000207624" 1 1 1 3
"ENSG00000232134" 5 2 1 2
"ENSG00000118873" 5044 5224 4961 7113
"ENSG00000281696" 0 0 0 0
"ENSG00000222370" 1 0 1 0
"ENSG00000270585" 8 20 3 7
"ENSG00000270708" 0 0 0 0
